Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,1,Battery_Cell,C964817
"C1, C12, C13, C14, C15, C16, C17, C4, C8, C9",0603,10,100nF,C14663
"C10, C11, C3, C6, C7",0603,5,10uF,C19702
C2,CP_Elec_10x12.5,1,680uF,C2983320
C5,CP_Elec_6.3x7.7,1,220uF,C2887273
"D1, D2, D3, D6",D_SMA,4,1N5824,C8678
"D4, D5",0603,2,LED,C2286
F1,1206,1,1A,C720075
J1,BarrelJack_Horizontal,1,Jack-DC,C16214
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C393939
J3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,RS_Port,C474881
J4,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Batt_Port,C157931
J5,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,CAN_Port,C474881
J6,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,C157914
J7,PinHeader_2x05_P2.54mm_Vertical,1,E07-M1101D-SMA,-
L1,L_Coilcraft_XAL7020-102,1,33uH,C6364680
L2,L_Coilcraft_XAL7020-102,1,2.2uH,C86092
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC,-
Q1,SOT-23,1,AO3400A,C20917
"R1, R11, R2, R20, R21, R25, R26, R27, R28, R3, R32, R4, R7",0603,13,10k,C25804
R10,0603,1,180,C2907000
"R12, R14, R5, R6",0603,4,1k,C21190
"R13, R15, R16, R23, R24, R33",0603,6,100k,C25803
R17,0603,1,330,C23138
"R18, R19",0603,2,270,C22966
R22,0603,1,680,C23228
R29,0603,1,470,C23179
"R34, R35",0603,2,120,C23228
"R8, R9",0603,2,5k1,C23186
SW1,SW_SPST_PTS645Sx43SMTR92,1,UP,C19191552
"SW10, SW9",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,2,SW_DIP_x01,
SW2,SW_SPST_PTS645Sx43SMTR92,1,DOWN,C19191552
SW3,SS-12D11,1,SW_SPDT,C431548
SW4,SW_SPST_PTS645Sx43SMTR92,1,RIGHT,C19191552
SW5,SW_SPST_PTS645Sx43SMTR92,1,LEFT,C19191552
SW6,SW_SPST_PTS645Sx43SMTR92,1,OK,C19191552
SW7,SW_SPST_PTS645Sx43SMTR92,1,RST,C19191552
SW8,SW_SPST_PTS645Sx43SMTR92,1,BOOT,C19191552
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,C2861252
U2,TO-263-5_TabPin3,1,LM2596S-5,C347421
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,C9943
U4,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,DS3231MZ,C107410
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U7,DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm,1,MAX17048G_T10,C2682616
U8,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U9,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,C82317
