Designator,Mid X,Mid Y,Rotation,Layer
BT1,146.3,-92.42,0.0,bottom
C1,117.085,-82.085,0.0,top
C10,130.01,-84.71,0.0,top
C11,130.01,-86.22,0.0,top
C12,174.1,-90.315,270.0,bottom
C13,167.655,-52.315,180.0,top
C14,139.3275,-80.69,0.0,bottom
C15,128.295,-61.75,0.0,bottom
C16,131.84,-57.695,270.0,top
C17,154.48,-75.37,90.0,bottom
C2,123.9175,-65.675,180.0,top
C3,123.06,-77.885,90.0,top
C4,170.77,-73.685,270.0,top
C5,106.17,-86.65,180.0,top
C6,114.035,-85.535,0.0,top
C7,131.98,-77.0,0.0,top
C8,128.03,-80.045,270.0,top
C9,154.48,-80.99,270.0,bottom
D1,122.05,-64.44,180.0,bottom
D2,122.05,-60.75,180.0,bottom
D3,110.9475,-92.68,180.0,bottom
D4,110.9475,-70.315,0.0,top
D5,111.01,-68.44,0.0,top
D6,106.5375,-80.16,0.0,bottom
F1,113.75,-62.945,180.0,bottom
J1,105.945,-60.07,270.0,top
J2,122.625,-52.905,180.0,top
J3,176.54,-73.18,90.0,top
J4,134.49,-89.815,0.0,top
J5,176.54,-61.63,90.0,top
J6,171.55,-88.87,180.0,bottom
J7,161.19,-68.87,0.0,bottom
L1,106.56,-78.46,90.0,top
L2,138.48,-81.82,90.0,top
M1,110.92,-96.18,90.0,top
Q1,124.43,-92.3425,0.0,bottom
R1,119.71,-84.36,90.0,top
R10,121.33,-92.43,90.0,bottom
R11,122.77125,-84.36,270.0,top
R12,113.9725,-70.315,0.0,top
R13,159.6,-80.11,0.0,bottom
R14,114.035,-68.44,0.0,top
R15,161.25,-86.09,180.0,bottom
R16,161.25,-84.595,180.0,bottom
R17,169.235,-66.265,270.0,top
R18,167.345,-66.265,270.0,top
R19,165.425,-66.265,270.0,top
R2,121.36,-73.36,270.0,top
R20,131.98,-78.495,0.0,top
R21,154.48,-84.215,270.0,bottom
R22,170.77,-66.265,90.0,top
R23,159.6,-81.605,0.0,bottom
R24,159.6,-83.1,0.0,bottom
R25,174.1,-81.755,270.0,bottom
R26,170.95,-58.91,90.0,top
R27,136.985,-70.35,270.0,bottom
R28,138.51,-70.35,270.0,bottom
R29,154.725,-61.75,0.0,bottom
R3,118.36,-73.36,270.0,top
R32,154.48,-71.72,90.0,bottom
R33,129.57,-58.48,270.0,top
R34,171.005,-61.19,0.0,bottom
R35,166.265,-61.19,0.0,bottom
R4,119.86,-73.36,270.0,top
R5,113.335,-80.0975,0.0,top
R6,121.24625,-84.36,90.0,top
R7,119.48,-92.43,270.0,bottom
R8,123.875,-52.655,270.0,bottom
R9,120.875,-52.655,90.0,bottom
SW1,155.65,-80.29,180.0,top
SW10,165.44,-55.41,90.0,bottom
SW2,155.65,-94.0,180.0,top
SW3,122.28,-92.93,180.0,top
SW4,164.27,-87.12,90.0,top
SW5,147.03,-87.12,270.0,top
SW6,155.65,-87.12,180.0,top
SW7,129.77,-55.76,90.0,bottom
SW8,156.15,-55.76,90.0,bottom
SW9,170.18,-55.41,90.0,bottom
U1,118.61,-78.66,180.0,top
U2,122.875,-78.46,180.0,bottom
U3,167.34,-71.985,180.0,top
U4,131.9775,-81.82,180.0,top
U5,148.41,-82.4,270.0,bottom
U6,167.515,-57.24,180.0,top
U7,139.21,-83.04,270.0,bottom
U8,142.96,-62.46,0.0,top
U9,148.41,-73.96,270.0,bottom
