Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,1,Battery_Cell,C964817
"C1, C13, C17, C22, C4, C7, C8, C9",0603,8,100nF,C14663
"C10, C11",0603,2,100pF,C14858
"C12, C20, C21, C23, C24, C25, C3",0603,7,10uF,C19702
"C2, C5, C6",0603,3,1uF,C15849
C26,CP_Elec_10x12.5,1,680uF,C2983320
C27,CP_Elec_6.3x7.7,1,220uF,C2887273
"D1, D10, D2, D5, D6",0603,5,LED,C2286
"D11, D12, D13, D4",D_SMA,4,1N5824,C8678
D3,SOT-23,1,SM712,C7420375
D7,TVS_PESD2CANFD24V-UX,1,PESD2CANFD24V-UX,C2687131
F2,1206,1,1A,C720075
J1,BarrelJack_Horizontal,1,Jack-DC,C16214
J3,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,RS_Port,C474882
J4,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Batt_Port,C157931
J5,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,CAN_Port,C474881
J6,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,C157914
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C393939
L3,L_Coilcraft_XAL7020-102,1,1.5uH,C5189745
L4,L_Coilcraft_XAL7020-102,1,33uH,C6364680
Q2,SOT-23,1,AO3401A,C15127
"R1, R10, R11, R21, R25, R26, R27, R28, R3, R32, R4, R45, R6",0603,13,10k,C25804
"R14, R46, R5, R7",0603,4,1k,C21190
R2,0603,1,10,C22859
"R34, R35",0603,2,120,C22787
"R39, R41",0603,2,1M,C22935
R40,0603,1,180k,C2906999
"R42, R43, R44",0603,3,470,C23179
"R8, R9",0603,2,5k1,C23186
SW1,SW_SPST_PTS645Sx43SMTR92,1,UP,C19191552
"SW10, SW9",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,2,SW_DIP_x01,
SW11,SS-12D11,1,SW_SPDT,
SW12,SW_SPST_PTS645Sx43SMTR92,1,RST,C19191552
SW2,SW_SPST_PTS645Sx43SMTR92,1,DOWN,C19191552
SW3,SW_SPST_PTS645Sx43SMTR92,1,BOOT,C19191552
SW4,SW_SPST_PTS645Sx43SMTR92,1,ENTER,C19191552
SW5,SW_SPST_PTS645Sx43SMTR92,1,RETURN,C19191552
U11,IC_TPS63020DSJR,1,TPS63020DSJR,C15483
U12,TO-263-5_TabPin3,1,LM2596S-5,C347421
U2,DFN-10-1EP_3x3mm_P0.5mm_EP1.58x2.35mm,1,MCP73833-xxx-MF,C340160
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,C9943
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,DS3231MZ,C107410
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U7,DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm,1,MAX17048G_T10,C2682616
U8,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U9,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,C82317
